
// ================================================================================================================================================================
// General Pool
// ================================================================================================================================================================

---- LW2WotC_ShootAnyone:  Shoot Anyone.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZWaterFocus:  Focus. generated at start of turn.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZWindFocus:  Focus. generated by dashing.
:: Mitzruti's Perk Pack
# Focus
# Focus Generation

---- MZFocusBladestorm:  variant of bladestorm that costs mana per attack.
:: Mitzruti's Perk Pack
# Focus
# Melee

---- MZAcidFusil:  acid damage and acid burning
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZCurseFusil:  psi damage and bloodcurse
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZFlameFusil:  fire damage and burning
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZFusilier:  Passive. Fusils don't end the turn when used as the first action.
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZLightningFusil:  basically lightning hands. 1/turn limit
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZStormFusil:  electric damage, bypass armour
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZTripleFusil:  basically fanfire
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZVenomFusil:  parth poison damage and poison
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZAcidRuneshot:  acid damage and acid burning
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZBlastRuneshot:  splash damage (explosive)
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZBlindRuneshot:  blind and disorient
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZCurseRuneshot:  psi damage and bloodcurse
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZDrainRuneshot:  lifesteal (stronger drain at low hp)
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZFlameRuneshot:  fire damage and burning
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZManaDrainShot:  (no mana cost) gain mana if it hits
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZSnapRuneshot:  1ap turn ending. (snapshot where you spend mana instead of taking a hit penalty)
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZStormRuneshot:  electric damage, bypass armour
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZSupernalRay:  bonus BlazingPinions damage to targets in a line.
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZTwinRuneshot:  basically rapid fire
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZQuickRuneshot:  1ap, but needs 2ap to activate. (essentialy a more limited marauder)
:: Mitzruti's Perk Pack
# Focus
* Shot

---- MZVenomRuneshot:  parth poison damage and poison, bypass shield and sustain.
:: Mitzruti's Perk Pack
# Focus
* Shot
* vs Shield

---- MZManaConceal:  spend mana to enter concealment.
:: Mitzruti's Perk Pack
# Focus

---- MZManaGrapple:  spend mana to grapple to a higher elevation.
:: Mitzruti's Perk Pack
# Focus

---- MZPhantomFocus:  Focus: gained at the start of each turn while concealed
:: Mitzruti's Perk Pack
# Focus




---- MZAirSabre:  "melee" attack a foe at moderate range.
:: Mitzruti's Perk Pack
# Focus
# Melee

---- MZCleaveSabre:  slash target, also damage foes in a cone behind them.
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZDrainSabre:  slash drains life. stronger drain when user is wounded.
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZLeechSabre:  slash leeches shield.
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre
* vs Shield

---- MZSabreMobility:  passive. gained mobility based on number of sabre abilities learned.
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZSabreShielding:  passive. gained shield based on number of sabre abilities learned.
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZSabreVitality:  passive. gained HP based on number of sabre abilities learned.
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZAcidSabre:  acid damage and acid burning
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZFlameSabre:  fire damage and burning
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZStormSabre:  electric damage, ignore armour
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZVenomSabre:  parth poison damage and poison
:: Mitzruti's Perk Pack
# Focus
# Melee
# Sabre

---- MZFuseFusil:  shot sets off explosives the target is carrying
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZSilentFusil:  doesn't break concealment on a killshot
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZShadowfallFusil:  attempt to gain concealment on a killshot.
:: Mitzruti's Perk Pack
# Focus
# Pistol

---- MZLeechRuneshot:  shot leeches shield.
:: Mitzruti's Perk Pack
# Focus
* Shot
* Shield

---- MZSplitArrow:  needs psi bow. fire at multiple random foes, costs 1 focus per shot.
:: Mitzruti's Perk Pack
# PsiShard

// ================================================================================================================================================================
// Suppression
// @ Rock 'n Roll
// @ Roadblock
// @ Repeater
// @ Cross Country
// @ Wildcard
// ================================================================================================================================================================

---- Suppression:  Fire a barrage that pins down a target, grants reaction fire against it if it moves, restricts the use of many abilities, and imposes a -25 penalty to the target's aim.
::1   LW2 Technical
::4   LW2 Ranger
::0   LW2 Gunner
# Cannon
* Suppression
@ Rock 'n Roll
@ Roadblock
@ Repeater
@ Cross Country
@ Wildcard

---- Area Suppression:  Fire a barrage that pins down multiple targets within a 4-tile radius, granting reaction fire against anyone that moves, and imposing a -25 penalty to all targets' aim until suppression is removed. Cannot be used when concealed.
= LW2WotC_AreaSuppression
::0   LW2 Gunner
# Cannon
* Suppression
@ Rock 'n Roll
@ Roadblock
@ Repeater
@ Cross Country

---- MZBlindingSuppression: Blind enemies when you suppress them.
:: Mitzruti's Perk Pack
* Suppression
@ Roadblock

---- MZBurningSuppression: Set enemies on fire when you suppress them.
:: Mitzruti's Perk Pack
* Suppression
@ Blowtorch
@ Charbroil
@ Torch

---- MZConfusingSuppression: May Confuse enemies when you suppress them.
:: Mitzruti's Perk Pack
* Suppression
@ Rock 'n Roll
@ Cross Country

---- MZDisablingSuppression: Disable weapons when you suppress enemies.
:: Mitzruti's Perk Pack
* Suppression
@ Repeater

---- MZPanicSuppression: Enemies might panic wheen you suppress them.
:: Mitzruti's Perk Pack
* Suppression
@ Rock 'n Roll

---- MZPoisoningSuppression: Poison enemies when you suppress them.
:: Mitzruti's Perk Pack
* Suppression


---- Danger Zone:  Area Suppression suppresses enemies in a 5-tile radius.
= LW2WotC_DangerZone
::5   LW2 Gunner
* Suppression
* Enhance: Area Suppression
@ Cross Country

---- Mayhem:  Gain 25% bonus damage against enemies who attempt to move when suppressed.
= LW2WotC_Mayhem
= LW2WotC_Mayhem_Bonuses
::3   LW2 Gunner
# Guns
* Suppression
@ Cross Country

---- Lockdown:  Gain +15 to hit against enemies who attempt to move when suppressed.
= LW2WotC_Lockdown
= LW2WotC_Lockdown_Bonuses
::2   LW2 Gunner
# Gun Users
* Suppression




// ================================================================================================================================================================
// Gremlin
// ================================================================================================================================================================

---- Hack:  Attempt to remotely breach security on a network access point with your GREMLIN.
::0   LW2 Specialist
::0   SPARK
* Hack
# Gremlin
@ Dial-Tone
@ Mainframe
@ Slip Stream
@ Jinx

---- Combat Protocol:  Send the GREMLIN to an enemy to jolt them, dealing guaranteed damage, which is increased against robotic enemies.
::1   LW2 Specialist
# Gremlin
@ Mainframe
@ Dial-Tone
@ Slip Stream
@ Jinx

---- GrimySabotage: combat protocol disarms target
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Gremlin
* Enhance: Combat Protocol
@ Mainframe

---- GrimyCauterize: gremlin does light damage, and then heal
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Gremlin
@ Lifeline

---- GrimyHostageProtocol: gremlin stuns enemy andd turns them into cover
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Gremlin
@ Jinx




---- Aid Protocol:  Command your GREMLIN to move to a friendly target. It grants that target a bonus to Defense until the start of the next player turn.
::0   LW2 Specialist
# Gremlin
* Aid Protocol
@ Lifeline
@ Lift Ticket

---- MZAidProtocolHeal:  aid protocol heals (depending on hack) and removes enviro effects.
:: Mitzruti's Perk Pack
# Gremlin
* Aid Protocol
@ Lifeline
@ Lift Ticket

---- MZArmourSystem:  aid protocol grants temporary armour and repairs shredded armour
:: Mitzruti's Perk Pack
# Gremlin
* Aid Protocol
* Armor
* Repair Armor
@ Lift Ticket

---- MZMassAidProtocol:  applies aid protocol to multiple allies in a large aoe.
:: Mitzruti's Perk Pack
# Gremlin
* Aid Protocol
@ Lift Ticket

---- MZImprovedScanner:  combat scanner and mass aid have increased radius. combat scanner also applies a bonus to crit enemies.
:: Mitzruti's Perk Pack
# Gremlin
* Aid Protocol
@ Lift Ticket

---- Threat Assessment:  Aid Protocol now grants the target a Covering Fire Overwatch shot, but the Aid Protocol cooldown is increased by 1 turn.
== ThreatAssessment
::6   LW2 Specialist
# Gremlin
* Aid Protocol
@ Lift Ticket





---- MZCombatScanner:  reveal a location and holotarget enemies in it.
:: Mitzruti's Perk Pack
# Gremlin
@ Dial-tone

---- MZGremlinInsanity:  stun or control a robotic foe
:: Mitzruti's Perk Pack
# Gremlin

---- MZGremlinStasis:  stasis! with a gremlin.
:: Mitzruti's Perk Pack
# Gremlin

---- MZGremlinSustain:  a more techy-looking sustain. (technically it might not need a gremlin)
:: Mitzruti's Perk Pack
# Gremlin



---- MZChainingJolt:  gremlin attack that chains to multiple foes
:: Mitzruti's Perk Pack
# Gremlin
* Chain attack
@ Mainframe
@ Slip Stream

---- MZChainDischarge:  chain attack against everything in an area.
:: Mitzruti's Perk Pack
# Gremlin
* Chain attack
* Enhance: MZChainingJolt
@ Mainframe
@ Slip Stream

---- MZHighVoltage:  gremlin chain attacks do more damage the more targets they chain to.
:: Mitzruti's Perk Pack
# Gremlin
* Chain attack
* Enhance: MZChainingJolt
@ Mainframe

---- MZShockTherapy:  gremlin chain attacks can disorient or stun.
:: Mitzruti's Perk Pack
# Gremlin
* Chain attack
* Enhance: MZChainingJolt
@ Slip Stream

---- MZStormGenerator:  gremlin chain attacks have increased range
:: Mitzruti's Perk Pack
# Gremlin
* Chain attack
* Enhance: MZChainingJolt
@ Slip Stream

---- MZVoltaicArc:  automatic gremlin chain attack on enemies that come near.
:: Mitzruti's Perk Pack
# Gremlin
* Chain attack
* Enhance: MZChainingJolt
@ Mainframe

---- Haywire Protocol:  You may target robotic and mechanical enemies with your GREMLIN, attempting to hack them and seize control.
::0   LW2 Specialist
# Gremlin
@ Mainframe

---- Capacitor Discharge:  Send the GREMLIN to a location where it emits a substantial electric discharge, damaging and potentially stunning all nearby units. Robotic units take more damage.
::7   LW2 Specialist
# Gremlin
@ Mainframe

---- Trojan:  Enemy units that are hacked take damage and lose their actions on the turn the hack effect ends.
::3   LW2 Specialist
# Gremlin
@ Mainframe



---- Revival Protocol:  Send the GREMLIN to an ally to remove any negative mental status effects: Disoriented, Stunned, Panicked, or Unconscious.
= RevivalProtocol
::1   LW2 Specialist
# Gremlin
@ Lifeline

---- Medical Protocol:  The GREMLIN can perform healing actions remotely: GREMLIN Heal and GREMLIN Stabilize. The GREMLIN has a single charge. If a medikit is equipped, the GREMLIN will gain an additional charge.
::3   LW2 Specialist
# Gremlin
@ Lifeline

---- Restoration:  The GREMLIN flies to each squad member, healing or reviving them as needed.
::7   LW2 Specialist
# Gremlin
@ Lifeline

---- Airdrop:  The GREMLIN grants an explosive grenade to the targeted ally. Use twice per mission.
== LW2WotC_Airdrop
::4   LW2 Specialist
# Gremlin
@ Lift Ticket

---- Rescue Protocol:  Use your Gremlin to grant a movement action to an ally.
== LW2WotC_RescueProtocol
::6   LW2 Specialist
# Gremlin
@ Lift Ticket
@ Lifeline





---- Interference:  GREMLIN cancels overwatch on targeted unit. Use three times per battle. Number of uses is increased with advanced GREMLINs.
== LW2WotC_Interference
::2   LW2 Specialist
# Gremlin
@ Shipwreck

---- Scanning Protocol:  The GREMLIN can trigger an instant scan of the area, increasing the Specialist's sight radius substantially for one turn, and revealing any hidden or disguised enemies in view.
::3   LW2 Specialist
# Gremlin
@ Shipwreck


// ================================================================================================================================================================
// Arcthrower
// ================================================================================================================================================================

---- Stun:  Fire your Arc Thrower to incapacitate a target.
::-1   LW2 Assault
# Arcthrower
@ Breaker
@ Mutt
@ Law
@ Shockwave
@ Doc

---- MZArcBlueActions:  arcthrower abilities no longer end turn
:: Mitzruti's Perk Pack
# Arcthrower
@ Mutt
@ Shockwave

---- MZArcFuse:  fuse with an arcthrower (If an enemy is carrying explosives, they can be remotely detonated.)
:: Mitzruti's Perk Pack
# Arcthrower
@ Breaker
@ Shockwave

---- Electroshock:  Your arc thrower disorients the target when it misses.
::1   LW2 Assault
# Arcthrower
@ Shockwave
@ Law

---- Arc Pulser:  Fire your Arc Thrower to incapacitate a target and damage mechanical enemies.
::2   LW2 Assault
# Arcthrower
@ Breaker
@ Doc

---- Stun Gunner:  Your Arc Thrower now has a bonus to hit.
::3   LW2 Assault
# Arcthrower
@ Mutt
@ Law

---- Chain Lightning:  Fire your Arc Thrower at every visible enemy who is capable of being stunned. Five-turn cooldown.
::7   LW2 Assault
# Arcthrower
@ Mutt
@ Shockwave

---- MZArcBoostMove:  grant an ally a move AP and temporary shadowstep
:: Mitzruti's Perk Pack
# Arcthrower
@ Law
@ Doc

---- MZArcElectrocute:  electrical attack.
:: Mitzruti's Perk Pack
# Arcthrower
@ Mutt
@ Law

---- MZArcJoltAwake:  as revival protocol, but on a cooldown (also grants a ranged stabilize)
:: Mitzruti's Perk Pack
# Arcthrower
@ Doc

---- MZArcPhaseLance:  deal electrical damage to targets in a line.
:: Mitzruti's Perk Pack
# Arcthrower
@ Mutt
@ Law

---- MZArcCascadeLance:  phase lances does increasing damage as it passes through more targets.
:: Mitzruti's Perk Pack
# Arcthrower
@ Mutt
@ Law

---- MZArcRobotInsanity:  hack contest, may stun or gain control of a robot.
:: Mitzruti's Perk Pack
# Arcthrower
@ Breaker

---- MZArcHaywire:  briefly control an enemy robot
:: Mitzruti's Perk Pack
# Arcthrower
@ Breaker

---- MZArcRepair:  repair a robotic ally
:: Mitzruti's Perk Pack
# Arcthrower
@ Breaker

// ================================================================================================================================================================
// Holotargeter
// ================================================================================================================================================================

---- Holo Targeting:  Holotarget your enemy to grant an aim bonus to all attacks on this target by you and your allies for the remainder of the turn.
::-1   LW2 Sharpshooter
::3   SPARK
# Holotargeter
@ Flash
@ Sci-Fi
@ Sneak Peek
@ Ace
@ Ghostrider

---- GrimyExecuteBonus: Melee attacks against marked or holotargeted enemies deal triple damage
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Melee
@ Sneak Peek

---- MZHoloBlind:  holotargeting foes also blinds them
:: Mitzruti's Perk Pack
# Holotargeter
@ Ace

---- MZHoloBurn:  holotargeting has a chance to burn foes.
:: Mitzruti's Perk Pack
# Holotargeter
@ Flash
@ Sci-Fi

---- MZHoloConceal:  put an ally into concealment
:: Mitzruti's Perk Pack
# Holotargeter
@ Ghostrider

---- MZHoloReveal:  reveal hidden enemies in an area
:: Mitzruti's Perk Pack
# Holotargeter
@ Sneak Peek

---- MZHoloFloodlight:  increases radius of HoloReveal
:: Mitzruti's Perk Pack
# Holotargeter
@ Sneak Peek

---- MZHoloDecoy:  create a mimic beacon
:: Mitzruti's Perk Pack
# Holotargeter
@ Ghostrider

---- MZHoloWillDebuff:  holotargeting foes debuffs will
:: Mitzruti's Perk Pack
# Holotargeter
@ Ace

---- Rapid Targeting:  You may Holotarget an enemy as a free action with a 4-turn cooldown. In addition, Holotargeting no longer ends your turn.
::1   LW2 Sharpshooter
# Holotargeter
@ Sneak Peek
@ Ace

---- HiDef Holo:  Your Holotargeted enemies are easier to critically hit.
::3   LW2 Sharpshooter
# Holotargeter
@ Ace
@ Flash
@ Sci-Fi

---- Independent Tracking:  A Holotargeted enemy will remain so for 1 additional turn(s)
::4   LW2 Sharpshooter
# Holotargeter
@ Sneak Peek

---- Vital Point Targeting:  Attacks against your Holotargeted enemies deal more damage.
::5   LW2 Sharpshooter
# Holotargeter
@ Ace
# Ghostrider

---- Multitargeting:  You may Holotarget multiple enemies with a 2-turn cooldown.
::6   LW2 Sharpshooter
# Holotargeter
@ Ace
@ Ghostrider
@ Sneak Peek



// ================================================================================================================================================================
// Rockets
// ================================================================================================================================================================

---- MZPocketRocket: grants a rocket launcher
:: Mitzruti's Perk Pack
# Extra Equipment
# Rockets
@ Destro
@ Fast Draw
@ Scrap Iron

---- Heavy Weapons:  This soldier is trained to use the XCOM gauntlet, a combination Rocket Launcher and Flamethrower.
::-1   LW2 Technical
# Gauntlet
@ Zap
@ Bazooka
@ Thunder
@ Steeler
@ Heavy Metal

---- Tandem Warheads:  Your grenades and rockets do full damage to units to the maximum extent of their area of effect.
::4   LW2 Technical
::4   LW2 Grenadier
# Grenades
# Rockets
@ Zap
@ Bazooka
@ Thunder
@ Short Fuze
@ Scrap Iron

---- Biggest Booms:  Your grenades and standard rockets can inflict critical damage (50% chance for +2 damage).
::2   LW2 Technical
::5   LW2 Grenadier
# Launcher
# Gauntlet
# Rockets
@ Zap
@ Bazooka
@ Scrap Iron


---- Fire in the Hole:  Your rockets are more accurate.
::1   LW2 Technical
# Gauntlet
# Rockets
@ Zap
@ Bazooka
@ Thunder
@ Steeler
@ Heavy Metal
@ Scrap Iron


---- Concussion Rocket:  Fire a special rocket that does limited damage but has a chance to stun or disorient organic enemies within its area of effect and leaves a cloud of smoke.
::3   LW2 Technical
# Rockets
@ Zap
@ Bazooka


---- Javelin Rockets:  The range of your rockets is increased by 6 tiles and you may hit targets beyond your visual range.
::5   LW2 Technical
# Rockets
@ Thunder
@ Steeler
@ Heavy Metal
@ Scrap Iron

---- Salvo:  Launching or throwing grenades, using heavy weapons or using the Gauntlet's Rocket Launcher with your first action will not end your turn.
::6   LW2 Grenadier
::6   LW2 Technical
# Launcher
# Rockets
@ Zap
@ Bazooka
@ Fast Draw
@ Short Fuze
@ Gung-Ho
@ Hardball
@ Firefly
@ Monkeywrench
@ Kwinn

---- Bunker Buster:  Fire a special rocket that destroys buildings and other objects in the environment.
::7   LW2 Technical
# Rockets
@ Zap
@ Steeler
@ Heavy Metal
@ Thunder

// ================================================================================================================================================================
// Sword
// ================================================================================================================================================================

---- Slash:  Attack an adjacent target with your sword. Uses one action.
== LW2WotC_Slash
::0  LW2 Shinobi
# Melee
# Sword
@ Snake Eyes
@ Quick-Kick
@ Jinx
@ Budo
@ Grand Slam
@ Hardball
@ Recondo
@ Muskrat
@ Storm Shadow
@ Billy Kessler
@ Blind Master
@ Pale Peony

---- Fleche:  Attack any enemy within movement range with your sword. Deals +1 damage for every 4 tiles between your starting position and the target.
== LW2WotC_Fleche
== LW2WotC_Fleche_Bonuses
::0  LW2 Shinobi
# Melee
# Sword
# Bat
@ Snake Eyes
@ Quick-Kick
@ Jinx
@ Budo
@ Grand Slam
@ Hardball
@ Recondo
@ Muskrat
@ Storm Shadow
@ Billy Kessler
@ Blind Master
@ Pale Peony

---- GrimyBladeOil: Slash an enemy with a poisoned blade, dealing an additional 100% weapon damage as poison
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Melee
# Sword
* Poison
@ Storm Shadow

---- GrimyRapidslashHH: A basic sword slash that does not end your turn
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Melee
# Sword
* Action
@ Snake Eyes
@ Quick-Kick
@ Budo

---- MZNightSword: acid+lifesteal slash
:: Mitzruti's Perk Pack
# Melee
# Sword
@ Storm Shadow

---- MZHarvestScythe:  upgrade Night Sword to a cleave attack.
:: Mitzruti's Perk Pack
# Melee
# Sword
* Enhance: Night Sword
@ Storm Shadow

---- MZDaySword:  slash attack leeches shield.
:: Mitzruti's Perk Pack
# Melee
# Sword
@ Grand Slam

---- MZBladeArtist: do more damage when using special sword attacks
:: Mitzruti's Perk Pack
# Melee
# Sword
@ Snake Eyes

---- Blademaster:  All sword attacks deal +1 extra damage and have +10 Aim.
::1  LW2 Shinobi
# Melee
# Sword
@ Snake Eyes
@ Storm Shadow
@ Muskrat
@ Hardball


---- Bladestorm:  Free sword attacks on any enemies that enter or attack from melee range.
::4  LW2 Shinobi
# Melee
# Sword
@ Snake Eyes
@ Jinx
@ Storm Shadow

---- Coup de Grace:  Sword attacks against unconscious, stunned, panicked or disoriented enemies have +50 aim, +50 crit and deal two points of additional base damage.
== LW2WotC_CoupDeGrace
::7  LW2 Shinobi
# Melee
# Sword
@ Jinx
@ Storm Shadow


// ================================================================================================================================================================
// Knife
// ================================================================================================================================================================

---- Knife Fighter:  You may make a melee attack with your knife against adjacent enemies.
::-1   LW2 Gunner
# Melee
# Knife


---- Combatives:  You may parry melee attacks and counterattack with your combat knife. Also gain +10 dodge.
::2  LW2 Shinobi
::1   LW2 Gunner
# Melee
# Knife

---- MZAcidKnife:  acid attack + acid burn
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZAmbulance:  gain temp shadowstep and +1AP for use with medical abilities
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZDancingDeath:  attack target and nearby foes, then do an additional crit on target.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZDriftingContact:  attack with bonus crit chance and momentum
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZFlameKnife:  fire attack + burn
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZFloatLikeAButterfly:  activate to gain a momentum AP, and an additional one per knife/ripjack kill this turn.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZFinishingStroke:  turn ending critical attack bypasses most defenses and does bonus damage based on target's missing health.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZHealKnife:  heal target based on knife's crit damage. +subskill that stabilizes.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZHealthHeist:  attack that steals hp
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZInfectedKnife:  poison attack. poisons, disorients and zombifies.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZKnifeFlurry:  3-hit combo with lower base damage. final hit crits
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZLightningKnife:  free stab at adjacent foe.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZLikeAScalpel:  combat knives have increased crit chance and damage, but do less on non-crits.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZListonStyle:  damage enemies and heal allies in a target area. similiar mechanics as Blade Dance.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZSacrificialKnife:  consume hp for critical attack + curse
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZSerratedKnife:  attack ruptures and bleeds
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZShockKnife:  electrical attack, strong against robotics
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZSonicScrewdriver:  touch heal for robotic allies
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZStitchUp:  cleanse enviro ailments, restore armour.
:: Mitzruti's Perk Pack
# Melee
# Knife

---- MZSilverKnife:  vs undead; always hits. always crits. can use strafe AP.
:: Mitzruti's Perk Pack
# Melee
# Knife
# Strafe

---- MZStingLikeABee:  crit attack does bonus damage based on strafe AP earned. only useable during Float Like A Butterfly.
:: Mitzruti's Perk Pack
# Melee
# Knife
# Strafe

---- MZStrafeKnife:  half-damage attack, uses strafe AP
:: Mitzruti's Perk Pack
# Melee
# Knife
# Strafe



// ================================================================================================================================================================
// Pistol
// ================================================================================================================================================================

---- Clutch Shot:  Once per mission, fire a pistol shot that cannot miss.
== LW2WotC_ClutchShot
::  LW2WotC Main mod
# Pistol
@ Clutch

---- LW2WotC_Gunslinger:  Take a reaction shot with your pistol against any enemy that moves or attacks within <Ability:GUNSLINGER_TILES_RANGE> tiles and a wide cone of fire. <Ability:GUNSLINGER_COOLDOWN> turn cooldown.
::  LW2WotC Main mod
# Pistol
* Close


---- GrimyNeedlePointPassive: pistol abilites poison enemies
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
# Pistol
* Poison

---- GrimyTaserShot: pistol shot stuns organics, triple damage robots
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
# Pistol

---- MZFranticFire:  free action. fire pistol at 2 random enemies.
:: Mitzruti's Perk Pack
# Pistol
* Shot

---- MZShootOut:  fire your pistol at up to 6 random enemies. can hit the same target twice.
:: Mitzruti's Perk Pack
# Pistol
* Shot

---- MZTheBusiness:  fire your pistol at 2 random enemies
:: Mitzruti's Perk Pack
# Pistol
* Shot

---- MZIMeantToDoThat:  on pistol kill, shoot a random foe.
:: Mitzruti's Perk Pack
# Pistol
* Shot

---- MZWildPistolStrafe:  fire pistol at random foe. uses strafe AP.
:: Mitzruti's Perk Pack
# Pistol
# Strafe
* Shot

---- MZFaceoff:  like faceoff, except it's ammo cost scales with targets.
:: Mitzruti's Perk Pack
# Pistol


---- IsmsConcussiveShot:  electric pistol shot may stun based on will contest. can expend 2 charges to retain stealth by using Sap.
:: Mitzruti's Perk Pack
:: IsmsRogue
# Pistol

---- IsmsRiposte:  activate to deflect and counter the next attack. pistol countershot reduces target's defense.
:: Mitzruti's Perk Pack
:: IsmsRogue
# Pistol

---- MZKillerFlow:  autopistol attacks shoot an additional time at the primary target. (1/target/turn)
:: Mitzruti's Perk Pack
# Pistol


---- MZAbyssalPistolShot:  sacrifice health to deal bonus psi damage and inflict bloodcurse.
:: Mitzruti's Perk Pack
# Pistol

---- MZBigFortyFive:  strong pistol attack, but need to have two actions to fire.
:: Mitzruti's Perk Pack
# Pistol

---- MZQuickFortyFire:  BigFortyFive no longer ends the turn.
:: Mitzruti's Perk Pack
# Pistol

---- MZPistolRave:  3-shot burst. woefully inaccurate.
:: Mitzruti's Perk Pack
# Pistol
* Shot



// ================================================================================================================================================================
// Shotgun
// ================================================================================================================================================================

---- LW2WotC_SlugShot:  Special shot for primary-weapon shotguns only: Fire a shot that pierces <Ability:SLUG_SHOT_PIERCE> armor and has no range penalties. Uses <Ability:SelfAmmoCost/> ammo. <Ability:SLUG_SHOT_COOLDOWN/> turn cooldown.
::  LW2WotC Main mod
# Shotgun

---- LW2WotC_SlugShot_Bonuses:  Special shot for primary-weapon shotguns only: Fire a shot that pierces <Ability:SLUG_SHOT_PIERCE> armor and has no range penalties. Uses <Ability:SelfAmmoCost/> ammo. <Ability:SLUG_SHOT_COOLDOWN/> turn cooldown.
::  LW2WotC Main mod
# Shotgun

---- LW2WotC_TrenchGun:  Special shot for primary-weapon shotguns only: Fire a short-range cone-based attack at nearby targets. <Ability:TRENCH_GUN_COOLDOWN> turn cooldown.
::  LW2WotC Main mod
# Shotgun


---- GrimyCausticSlug: double damage shotgun shot shreds armour
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
# Shotgun
* Shred

---- GrimyGrapeShot: shotgun blast does fire damage in a short cone
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
# Shotgun

---- MZShotgunWedding: cone attack that's stonger with more targets.
:: Mitzruti's Perk Pack
* Shot

---- Slug Shot:  Special shot for primary-weapon shotguns only: Fire a shot that pierces two armor and has no range penalties. Uses 2 ammo. Three turn cooldown.
::1   LW2 Assault
# Shotgun

---- Trench Gun:  Special shot for primary-weapon shotguns only: Fire a short-range cone-based attack at nearby targets. Three-turn cooldown.
::2   LW2 Assault
